Country;City;Borough;Neighborhood;ZIP;Neighborhood_2;Neighborhood_3;
Germany;Berlin;Steglitz-Zehlendorf;Steglitz;12165; Steglitz (Steglitz-Zehlendorf); ;
Germany;Berlin;Steglitz-Zehlendorf;Steglitz;12167; ; ;
Germany;Berlin;Steglitz-Zehlendorf;Steglitz;12169; ; ;
Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde;12203; ; ;
Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde;12205; ; ;
Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde;12207; ; ;
Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde;12209; ; ;
Germany;Berlin;Steglitz-Zehlendorf;Lankwitz;12247; Lankwitz (Steglitz-Zehlendorf); ;
Germany;Berlin;Steglitz-Zehlendorf;Lankwitz;12249; ; ;
Germany;Berlin;Tempelhof-Schöneberg;Marienfelde;12277; Marienfelde (Tempelhof-Schöneberg); ;
Germany;Berlin;Tempelhof-Schöneberg;Marienfelde;12279; ; ;
Germany;Berlin;Tempelhof-Schöneberg;Lichtenrade;12305; ; ;
Germany;Berlin;Tempelhof-Schöneberg;Lichtenrade;12307; Lichtenrade (Tempelhof-Schöneberg); ;
Germany;Berlin;Tempelhof-Schöneberg;Lichtenrade;12309; ; ;
Germany;Berlin;Neukölln;Britz;12347; ; ;
Germany;Berlin;Neukölln;Buckow;12349; ; ;
Germany;Berlin;Neukölln;Britz;12351; ; ;
Germany;Berlin;Neukölln;Gropiusstadt;12353; Gropiusstadt (Neukölln); Gropiusstadt (Neukölln);
Germany;Berlin;Neukölln;Rudow;12355; ; ;
Germany;Berlin;Neukölln;Gropiusstadt;12357; ; ;
Germany;Berlin;Neukölln;Britz;12359; ; ;
Germany;Berlin;Treptow-Köpenick;Alt-Treptow;12435; Alt-Treptow (Treptow-Köpenick); ;
Germany;Berlin;Treptow-Köpenick;Plänterwald;12437; Plänterwald (Treptow-Köpenick); Baumschulenweg (Treptow-Köpenick);
Germany;Berlin;Treptow-Köpenick;Niederschöneweide;12439; ; ;
Germany;Berlin;Treptow-Köpenick;Oberschöneweide;12459; ; ;
Germany;Berlin;Treptow-Köpenick;Johannisthal;12487; ; ;
Germany;Berlin;Treptow-Köpenick;Adlershof;12489; Adlershof (Treptow-Köpenick); ;
Germany;Berlin;Treptow-Köpenick;Altglienicke;12524; ; ;
Germany;Berlin;Treptow-Köpenick;Bohnsdorf;12526; ; ;
Germany;Berlin;Treptow-Köpenick;Grünau;12527;Schmöckwitz (Treptow-Köpenick); ;
Germany;Berlin;Treptow-Köpenick;Köpenick;12555; Köpenick (Treptow-Köpenick); Oberschöneweide (Treptow-Köpenick);
Germany;Berlin;Treptow-Köpenick;Köpenick;12557; ; ;
Germany;Berlin;Treptow-Köpenick;Müggelheim;12559; Müggelheim (Treptow-Köpenick); ;
Germany;Berlin;Treptow-Köpenick;Friedrichshagen;12587; ; ;
Germany;Berlin;Treptow-Köpenick;Rahnsdorf;12589; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Hellersdorf;12619; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Kaulsdorf;12621; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Mahlsdorf;12623; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Hellersdorf;12627; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Hellersdorf;12629; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Marzahn;12679; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Marzahn;12681; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Biesdorf;12683; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Marzahn;12685; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Marzahn;12687; ; ;
Germany;Berlin;Marzahn-Hellersdorf;Marzahn;12689; ; ;
Germany;Berlin;Lichtenberg;Malchow;13051; ; ;
Germany;Berlin;Lichtenberg;Neu-Hohenschönhausen;13053; ; ;
Germany;Berlin;Lichtenberg;Alt-Hohenschönhausen;13055; ; ;
Germany;Berlin;Lichtenberg;Falkenberg;13057; ; ;
Germany;Berlin;Lichtenberg;Wartenberg;13059; ; ;
Germany;Berlin;Pankow;Weissensee;13086; ; ;
Germany;Berlin;Pankow;Heinersdorf;13088; ; ;
Germany;Berlin;Pankow;Pankow;13089; ; ;
Germany;Berlin;Pankow;Buch;13125; Buch (Pankow); Karow (Pankow);
Germany;Berlin;Pankow;Französisch Buchholz;13127; ; ;
Germany;Berlin;Pankow;Blankenburg;13129; ; ;
Germany;Berlin;Pankow;Niederschönhausen;13156; ; ;
Germany;Berlin;Pankow;Rosenthal;13158; Rosenthal (Pankow); ;
Germany;Berlin;Pankow;Blankenfelde;13159; ; ;
Germany;Berlin;Pankow;Pankow;13187; Pankow (Pankow); ;
Germany;Berlin;Pankow;Pankow;13189; ; ;
Germany;Berlin;Mitte;Wedding;13347; Wedding (Mitte); ;
Germany;Berlin;Mitte;Wedding;13349; ; ;
Germany;Berlin;Mitte;Wedding;13351; ; ;
Germany;Berlin;Mitte;Wedding;13353; Wedding (Mitte); ;
Germany;Berlin;Mitte;Gesundbrunnen;13355; ; ;
Germany;Berlin;Mitte;Gesundbrunnen;13357; ; ;
Germany;Berlin;Mitte;Gesundbrunnen;13359; ; ;
Germany;Berlin;Reinickendorf;Reinickendorf;13403; Reinickendorf (Reinickendorf); ;
Germany;Berlin;Reinickendorf;Tegel;13405; ; ;
Germany;Berlin;Reinickendorf;Reinickendorf;13407; ; ;
